Activity,Germany,France,Italy,Spain,Poland,Romania,Netherlands,Belgium,Czech,Portugal,Sweden,Greece,Hungary,Austria,Bulgaria,Denmark,Finland,Slovakia,Ireland,Croatia,Lithuania,Slovenia,Latvia,Estonia,Cyprus,Luxembourg,Malta
Domestic_flight_traveled,0.213,0.6256,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
International_flight_traveled,0.145,0.6256,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_diesel_local_passenger_train_traveled,0.0713,0.0317,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_diesel_long_distance_passenger_train_traveled,0.044,0.0033,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_electric_passenger_train_traveled,0.0668,0.187,0.0317,0.0514,4.6038,2.7375,0.0763,0.0484,4.3275,0.0615,0.0129,5.0165,3.6336,0.0235,2.8893,0.114,0.0452,1.6118,0.0388,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.0397
km_bus_traveled,0.0434,0.0295,0.0317,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_petrol_car_traveled,0.147,0.198,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_Motorcycle_traveled,1.0001,0.0644,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_ev_scooter_traveled,1.0001,0.0249,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
km_ev_car_traveled,0.0621,0.103,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
diesel_car_traveled,0.185,0.186,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
water_consumed,0.1,0.6256,1.3924,1.0112,4.6038,2.7375,1.5054,1.3906,4.3275,1.8423,1.7059,5.0165,3.6336,2.2715,2.8893,1.0614,1.5431,1.6118,2.0838,1.4483,2.404,1.5669,2.5706,3.9,6.3831,0.8752,0.8278
electricity_used,0.1043,0.0076,0.0874,0.0607,0.1708,2.7375,0.0787,0.0367,0.1248,0.052,0.0025,0.1605,0.0632,0.0487,0.1323,0.0531,0.0372,0.0434,0.0727,0.0649,0.0605,0.073,0.0298,0.2432,0.1591,0.0848,0.0848
beef_products_consumed,2.073,1.945,1.433,1.682,1.776,1.435,0.6571,1.781,1.455,0.5061,1.412,1.135,1.985,1.408,0.513,1.073,2.482,3.967,1.309,0.6011,1.366,1.959,2.497,4.66,1.403,0.607,0.607
beverages_consumed,0.4604,0.3487,0.4229,0.5065,0.6685,0.5514,0.5909,0.3902,0.6838,0.5768,0.2513,0.5567,0.8678,0.4682,0.9821,0.509,0.5724,0.5368,0.233,1.245,0.7645,0.3946,0.941,1.497,0.8024,0.6151,0.393
poultry_products_consumed,0.2472,0.3464,0.3847,0.5294,0.7166,0.3088,0.1822,0.3629,0.2939,0.4389,0.1494,0.6372,0.8652,0.3403,1.051,0.4402,0.6334,0.1416,0.1157,0.4042,0.2434,0.3239,0.7709,0.385,0.6251,0.3146,0.3966
pork_products_consumed,0.5388,0.3829,0.4473,0.6914,1.202,0.8106,0.7118,0.8642,0.737,0.9367,0.3962,0.585,1.118,0.4305,0.8094,0.9204,0.5315,0.4621,0.1558,0.6566,0.6604,0.4083,0.5647,1.108,0.9758,0.1441,0.4857
processed_rice_consumed,2.01,0.1156,0.4641,0.2677,1.619,0.7429,0.2103,0.4693,2.056,0.2606,0.3757,0.5129,0.69,6.302,1.157,1.109,2.339,0.0775,0.3906,0.8167,0.6752,0.3934,3.547,1.761,0.9369,0.786,0.455
