Country,Year,PerCapitaCO2
Austria,2023,7.44208
Belgium,2023,9.119974
Bulgaria,2023,6.861755
Croatia,2023,5.4407835
Cyprus,2023,7.2271657
Czechia,2023,8.500418
Denmark,2023,7.602126
Estonia,2023,9.784225
European Union (27),2023,6.8902993
Finland,2023,14.141014
France,2023,5.031372
Germany,2023,7.9318743
Greece,2023,6.127184
Hungary,2023,5.0901766
Ireland,2023,11.095565
Italy,2023,6.0840755
Latvia,2023,7.5996065
Lithuania,2023,7.9542584
Luxembourg,2023,11.861919
Malta,2023,3.7447104
Netherlands,2023,8.464481
Poland,2023,8.743331
Portugal,2023,5.1906157
Romania,2023,5.0648828
Slovakia,2023,4.939766
Slovenia,2023,7.7845387
Spain,2023,5.898736
Sweden,2023,6.6562405
World,2023,6.6508427
